1,85,2,88,106,6,108,73,4,78,98,12,110,93,9,100,95,4,100,102,4,104,101,7,112,98,9,109,74,18,91
0,92,3,97,103,7,104,106,7,122,91,5,106,99,5,108,87,6,94,107,8,108,83,6,90,72,13,82,80,20,89
2,100,3,103,113,9,114,88,6,93,90,7,98,97,7,113,72,11,78,93,4,94,93,3,101,90,1,101,92,21,105
3,94,5,95,102,7,106,103,3,111,88,9,99,95,7,106,78,9,80,84,10,86,102,3,113,85,5,97,97,14,107
4,95,2,98,103,6,105,99,5,105,100,6,111,84,4,92,74,7,82,112,8,112,98,7,109,84,8,94,83,15,92
5,105,4,106,120,3,120,110,2,116,80,12,90,84,6,94,88,9,99,92,11,94,91,6,98,71,9,83,82,15,100
7,94,1,100,94,7,98,97,7,101,90,7,99,76,7,85,89,13,94,104,9,106,89,5,97,86,6,103,106,13,117
6,96,4,96,109,7,110,92,2,98,93,4,101,87,8,98,95,6,99,90,8,93,101,5,113,91,6,98,82,14,94
8,93,2,96,116,7,118,106,3,110,89,7,99,80,2,89,79,9,82,94,6,98,96,2,106,82,9,95,101,17,107
9,111,1,112,111,11,112,101,3,111,88,7,96,76,4,82,94,7,98,104,2,108,93,3,100,80,6,88,86,12,93
