1,84,2,88,106,7,108,73,5,78,98,13,110,93,10,100,94,5,100,100,5,104,101,7,112,97,10,109,72,18,91
0,93,3,97,103,9,104,104,6,122,90,3,106,96,4,108,89,6,94,107,8,108,83,6,90,71,15,82,82,22,89
2,100,3,103,113,9,114,87,6,93,90,10,98,99,8,113,71,7,78,93,4,94,93,2,101,92,3,101,90,20,105
3,93,5,95,102,8,106,103,3,111,87,7,99,96,10,106,76,11,80,84,11,86,99,3,113,86,6,97,94,16,107
4,95,3,98,103,8,105,97,5,105,99,8,111,86,6,92,74,4,82,112,9,112,96,6,109,84,9,94,81,15,92
5,105,5,106,120,2,120,108,1,116,80,13,90,83,6,94,86,9,99,91,14,94,90,8,98,72,8,83,83,16,100
7,94,1,100,94,8,98,96,6,101,90,7,99,77,4,85,89,13,94,104,8,106,89,7,97,87,7,103,109,10,117
6,96,7,96,109,7,110,92,2,98,95,5,101,88,7,98,94,7,99,90,7,93,101,5,113,89,2,98,84,13,94
8,93,3,96,116,7,118,104,5,110,90,9,99,78,3,89,80,7,82,95,5,98,94,4,106,82,9,95,98,18,107
9,110,1,112,111,11,112,101,3,111,86,8,96,75,3,82,94,7,98,105,3,108,93,4,100,76,8,88,86,15,93
