0,93,1,97,102,3,104,111,6,122,96,4,106,100,3,108,90,6,94,106,5,108,88,7,90,74,7,82,84,14,89
1,85,2,88,105,5,108,74,8,78,98,6,110,94,4,100,97,3,100,103,5,104,104,3,112,103,7,109,82,12,91
2,102,3,103,113,4,114,89,5,93,94,5,98,104,6,113,75,3,78,93,2,94,97,1,101,92,0,101,97,15,105
3,94,5,95,101,5,106,107,7,111,90,7,99,97,4,106,77,9,80,85,7,86,102,4,113,87,1,97,99,12,107
4,97,1,98,104,5,105,101,5,105,103,7,111,88,6,92,75,3,82,112,3,112,103,4,109,86,4,94,84,9,92
5,105,3,106,120,1,120,109,2,116,83,14,90,91,4,94,86,9,99,91,6,94,93,5,98,75,6,83,91,6,100
6,96,4,96,109,1,110,95,1,98,96,5,101,90,6,98,95,5,99,91,7,93,108,3,113,91,2,98,87,8,94
8,94,5,96,116,3,118,107,2,110,92,9,99,81,1,89,81,5,82,94,5,98,102,4,106,82,4,95,100,13,107
7,95,2,100,94,4,98,99,6,101,91,9,99,80,8,85,87,7,94,105,4,106,94,6,97,94,4,103,106,5,117
9,111,0,112,112,5,112,102,2,111,93,11,96,74,2,82,92,2,98,106,3,108,98,5,100,81,3,88,88,10,93
