0,95,2,97,103,7,104,110,4,122,100,2,106,102,2,108,88,6,94,107,3,108,88,7,90,74,3,82,85,12,89
1,85,2,88,106,5,108,74,2,78,104,5,110,94,4,100,95,3,100,103,6,104,106,6,112,99,3,109,86,12,91
2,103,3,103,113,4,114,89,2,93,96,5,98,110,3,113,75,4,78,93,0,94,98,2,101,95,0,101,98,7,105
3,94,3,95,103,7,106,106,4,111,92,5,99,100,3,106,77,8,80,85,5,86,107,5,113,87,1,97,99,9,107
4,97,2,98,104,7,105,99,2,105,106,6,111,86,5,92,75,5,82,112,5,112,104,3,109,87,3,94,85,7,92
5,105,1,106,120,3,120,112,1,116,86,8,90,88,5,94,92,8,99,93,4,94,96,5,98,73,3,83,90,7,100
6,96,7,96,109,6,110,92,0,98,99,3,101,92,5,98,93,2,99,91,5,93,103,5,113,93,3,98,87,9,94
8,96,3,96,116,5,118,106,3,110,93,8,99,84,1,89,80,2,82,96,3,98,101,2,106,85,4,95,102,10,107
7,96,2,100,95,7,98,98,2,101,94,7,99,83,5,85,88,5,94,105,6,106,94,8,97,92,2,103,106,5,117
9,111,1,112,112,8,112,105,2,111,89,6,96,78,2,82,94,6,98,106,1,108,97,5,100,81,2,88,88,6,93
