0,95,2,97,102,6,104,112,5,122,99,2,106,102,4,108,89,7,94,106,2,108,88,5,90,74,3,82,85,12,89
1,85,2,88,106,7,108,74,3,78,102,5,110,94,3,100,95,2,100,103,7,104,106,4,112,100,5,109,86,11,91
2,103,3,103,113,3,114,90,3,93,96,4,98,109,5,113,75,2,78,93,0,94,97,0,101,96,2,101,97,9,105
3,94,2,95,103,6,106,106,5,111,91,5,99,99,3,106,79,9,80,85,6,86,105,5,113,85,1,97,99,12,107
4,98,2,98,103,5,105,99,4,105,106,6,111,87,5,92,74,4,82,112,4,112,104,3,109,89,4,94,85,6,92
5,106,2,106,120,3,120,112,1,116,85,9,90,88,6,94,93,7,99,93,4,94,96,4,98,75,3,83,89,4,100
6,96,6,96,109,6,110,93,0,98,98,4,101,92,5,98,95,3,99,91,5,93,104,5,113,92,2,98,86,8,94
8,95,3,96,116,4,118,107,4,110,94,8,99,81,1,89,79,2,82,96,5,98,102,3,106,83,3,95,101,13,107
7,96,3,100,95,7,98,96,2,101,94,5,99,83,7,85,89,4,94,104,6,106,94,5,97,95,2,103,106,7,117
9,111,1,112,112,9,112,104,2,111,91,5,96,76,2,82,95,3,98,107,1,108,97,5,100,83,2,88,88,6,93
