1,85,2,88,105,5,108,75,5,78,103,6,110,93,4,100,95,4,100,103,6,104,104,4,112,100,2,109,84,15,91
0,94,1,97,102,5,104,110,6,122,95,3,106,103,3,108,89,7,94,106,4,108,88,7,90,74,8,82,84,11,89
2,103,4,103,113,3,114,89,5,93,93,3,98,107,5,113,76,4,78,93,1,94,95,3,101,95,1,101,95,12,105
3,95,3,95,102,6,106,106,7,111,90,6,99,99,3,106,77,10,80,85,5,86,106,4,113,85,1,97,100,10,107
5,106,2,106,120,2,120,109,1,116,83,14,90,90,3,94,88,8,99,93,7,94,95,6,98,74,5,83,90,4,100
4,97,1,98,103,6,105,101,4,105,106,9,111,85,5,92,75,3,82,112,4,112,101,5,109,88,4,94,84,7,92
6,96,4,96,110,4,110,94,1,98,97,4,101,89,9,98,95,2,99,91,6,93,104,4,113,92,1,98,85,12,94
7,96,2,100,94,5,98,100,5,101,92,7,99,80,6,85,88,5,94,104,5,106,95,5,97,96,3,103,105,7,117
8,96,4,96,116,3,118,107,4,110,91,4,99,84,3,89,81,5,82,94,4,98,101,3,106,85,5,95,100,10,107
9,111,1,112,112,8,112,104,2,111,91,10,96,77,1,82,91,1,98,106,2,108,98,7,100,82,2,88,88,6,93
