0,92,8,97,102,7,104,108,5,122,88,10,106,95,10,108,81,5,94,104,5,108,86,10,90,71,18,82,73,22,89
1,83,6,88,106,4,108,73,6,78,92,12,110,91,11,100,97,8,100,101,7,104,103,7,112,95,13,109,70,15,91
2,97,9,103,112,6,114,90,4,93,84,9,98,97,20,113,69,10,78,93,4,94,92,4,101,87,8,101,79,26,105
5,105,8,106,120,6,120,106,2,116,78,12,90,81,16,94,83,9,99,88,9,94,92,8,98,72,12,83,79,14,100
3,93,4,95,101,4,106,104,11,111,83,12,99,96,16,106,77,12,80,82,9,86,102,7,113,78,11,97,86,12,107
4,96,11,98,103,5,105,98,8,105,95,8,111,79,14,92,71,10,82,109,4,112,97,5,109,82,11,94,80,14,92
6,93,12,96,109,4,110,94,4,98,87,6,101,87,12,98,90,8,99,91,6,93,100,6,113,85,12,98,76,18,94
7,91,4,100,94,5,98,98,6,101,81,13,99,75,17,85,86,16,94,102,11,106,92,7,97,82,16,103,93,11,117
8,92,9,96,115,4,118,106,4,110,86,11,99,78,13,89,78,11,82,92,7,98,98,4,106,78,9,95,88,17,107
9,109,5,112,111,8,112,105,3,111,89,8,96,74,11,82,89,6,98,104,5,108,90,3,100,79,7,88,79,15,93
